url,score
https://www.marist.edu/-/11th-annual-campus-sustainability-week,0.96
https://www.marist.edu/-/2018-04-12-eddie-whitman-pre-college-success-story,0.96
https://www.marist.edu/-/2018-05-25-equestrian-team,0.96
https://www.marist.edu/-/2018-08-07-fred-rogers,0.96
https://www.marist.edu/-/2018-08-07-nick-bayer-red-fox-highlight,0.96
https://www.marist.edu/-/2018-08-09-princeton-review-rankings,0.96
https://www.marist.edu/-/2018-08-13-allen-gavilanes-mac-hermann-trophy,0.91
https://www.marist.edu/-/2018-08-15-neil-fitzgerald-malting-grant,0.96
https://www.marist.edu/-/2018-08-17-honolulu-civil-beat,0.54
https://www.marist.edu/-/2018-08-21-freshman-class-welcome,0.96
https://www.marist.edu/-/2018-08-24-cathy-mulzer-award,0.96
https://www.marist.edu/-/2018-08-24-library-connectny,0.96
https://www.marist.edu/-/2018-08-30-alan-labouseur-distinguished-teacher-award,0.96
https://www.marist.edu/-/2018-08-31-new-faculty-welcome,0.87
https://www.marist.edu/-/2018-09-04-north-road-communications,0.96
https://www.marist.edu/-/2018-09-07-lavelle-hall-dedication,0.91
https://www.marist.edu/-/2018-09-10-kelly-peaks-red-fox-spotlight,0.96
https://www.marist.edu/-/2018-09-10-us-news-2019-rankings,0.96
https://www.marist.edu/-/2018-09-11-marist-health-quest-medical-school,0.83
https://www.marist.edu/-/2018-09-13-3-day-startup,0.96
https://www.marist.edu/-/2018-09-13-frankenstein-konfidential-art-exhibit,0.96
https://www.marist.edu/-/2018-09-18-lisa-stephens-diversity-education-research,0.96
https://www.marist.edu/-/2018-09-20-effron-lecture-lisa-leff,0.96
https://www.marist.edu/-/2018-09-20-shira-dentz-poetry-reading,0.96
https://www.marist.edu/-/2018-09-21-mary-beth-pfeiffer-lyme-talk,0.96
https://www.marist.edu/-/2018-09-25-graduate-programs-open-house,0.89
https://www.marist.edu/-/2018-09-26-robert-herz-lecture,0.96
https://www.marist.edu/-/2018-09-28-security-operations-center-opening,0.96
https://www.marist.edu/-/2018-10-01-david-cantu-red-fox-spotlight,0.96
https://www.marist.edu/-/2018-10-02-handel-krom-lecture-shaw-romney-susanah,0.96
https://www.marist.edu/-/2018-10-02-hawaii-reception,0.91
https://www.marist.edu/-/2018-10-02-jane-mcmanus-sports-comm-new-director,0.96
https://www.marist.edu/-/2018-10-08-jane-bean-folkes,0.96
https://www.marist.edu/-/2018-10-08-jonathan-starr-first-year-seminar-lecture,0.96
https://www.marist.edu/-/2018-10-09-undergrad-summer-research,0.87
https://www.marist.edu/-/2018-10-11-music-fall-concert-series,0.96
https://www.marist.edu/-/2018-10-16-eli-bisnett-cobb,0.96
https://www.marist.edu/-/2018-10-16-laruffa-dominick,0.96
https://www.marist.edu/-/2018-7-18-christopher-sorrentino-joins-fire-department,0.75
https://www.marist.edu/-/2018-7-18-marist-leads-maac-honor-roll-selections,0.91
https://www.marist.edu/-/art-historian-alison-mcqueen-to-discuss-french-fashion-of-the-1800s-text,0.96
https://www.marist.edu/-/career-services-office-career-fair-connects-students-with-employers,0.91
https://www.marist.edu/-/emmy-award-winning-broadcaster-james-brown-to-speak,0.96
https://www.marist.edu/-/espn-personality-pablo-torre-in-conversation,0.96
https://www.marist.edu/-/kevin-mccarthy-mlb-opening-day,0.91
https://www.marist.edu/-/marist-business-students-place-second-in-national-competition,0.96
https://www.marist.edu/-/marist-embraces-the-spirit-of-the-season-giving-tree-lessons-carols-marist-tree-and-other-traditions-mark-holida-1,0.96
https://www.marist.edu/-/marist-news-2018-alumni-awards,0.91
https://www.marist.edu/-/marist-news-a-balancing-act,0.96
https://www.marist.edu/-/marist-news-a-passion-for-poetry,0.96
https://www.marist.edu/-/marist-news-alyssa-moeder-89-marist-magazine,0.96
https://www.marist.edu/-/marist-news-american-advertising-federation-names-meghan-lai-19-a-most-promising-multicultural-student,0.96
https://www.marist.edu/-/marist-news-an-entrepreneur-for-accessibility-dana-jones-20-,0.96
https://www.marist.edu/-/marist-news-belfast-video,0.91
https://www.marist.edu/-/marist-news-black-lit-exhibition-of-rare-books-at-marist-s-cannavino-library-celebrates-black-history-month,0.96
https://www.marist.edu/-/marist-news-brian-parker-19-named-to-watch-list-for-3x3u-national-championship,0.91
https://www.marist.edu/-/marist-news-building-the-foundation-two-success-stories-from-marist-summer-pre-college,0.96
https://www.marist.edu/-/marist-news-center-for-social-justice-research,0.96
https://www.marist.edu/-/marist-news-college-launches-movement-analysis-laboratory-for-teaching-and-research,0.96
https://www.marist.edu/-/marist-news-communication-major-s-website-fills-a-need-in-the-marketplace,0.96
https://www.marist.edu/-/marist-news-computer-science-students-present-their-research-at-mit-columbia-and-other-prestigious-venues,0.96
https://www.marist.edu/-/marist-news-designer-francesca-liberatore-brings-real-world-experience-to-marist-fashion-students-on-and-off-the-runway,0.96
https://www.marist.edu/-/marist-news-dorothy-willis-68-marist-magazine,0.96
https://www.marist.edu/-/marist-news-female-stem-majors-enjoy-a-women-s-nite-out-,0.96
https://www.marist.edu/-/marist-news-graduate-programs-open-house-march-2,0.96
https://www.marist.edu/-/marist-news-head-of-the-charles-win,0.91
https://www.marist.edu/-/marist-news-help-jason-myers-13-reach-the-pro-bowl,0.91
https://www.marist.edu/-/marist-news-honors-thesis-exhibit-adds-a-special-focus-on-diversity,0.91
https://www.marist.edu/-/marist-news-jason-myers-13-helps-afc-prevail-in-pro-bowl,0.91
https://www.marist.edu/-/marist-news-jason-myers-13-selected-for-nfl-pro-bowl,0.86
https://www.marist.edu/-/marist-news-jewish-life-at-marist-is-alive-and-well-and-growing,0.96
https://www.marist.edu/-/marist-news-john-and-nancy-o-shea-hall-dedicated-in-campus-ceremony,0.91
https://www.marist.edu/-/marist-news-launching-pad-from-marist-to-the-new-york-jets,0.96
https://www.marist.edu/-/marist-news-learning-to-lead-marist-alumna-wins-athena-young-professional-leadership-award,0.96
https://www.marist.edu/-/marist-news-maac-championships-march-7-11-,0.86
https://www.marist.edu/-/marist-news-madeline-garcia-17-red-fox-spotlight,0.96
https://www.marist.edu/-/marist-news-marist-adds-entrepreneurship-concentration-option-for-business-majors,0.96
https://www.marist.edu/-/marist-news-marist-connection-premieres-with-an-interview-with-jerome-pickett-98,0.83
https://www.marist.edu/-/marist-news-marist-connections-an-interview-with-alvin-patrick-86,0.83
https://www.marist.edu/-/marist-news-marist-connections-podcast-features-ian-o-connor-86,0.83
https://www.marist.edu/-/marist-news-marist-faculty-and-students-promote-stem-exploration-through-hudson-valley-first-lego-league,0.96
https://www.marist.edu/-/marist-news-marist-madrid-meets-marist-poughkeepsie-in-art-exhibition-this-fall,0.96
https://www.marist.edu/-/marist-news-marist-online-programs-top-u-s-news-rankings,0.96
https://www.marist.edu/-/marist-news-marist-to-take-lead-on-iconic-mindset-list-in-2019,0.96
